sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer
JAH841,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH842,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH843,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH844,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH845,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH846,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH847,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH848,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH849,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH850,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH851,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH852,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH853,SNGO,"Chautauqua Wildlife Reserve, IL",03/21/2026; 12:30pm,,,,
