sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,rand,extraction_set
JAH661,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6743763880804181,79
JAH671,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6863750820048153,79
JAH577,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6900071015115827,80
JAH786,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6973737662192434,80
JAH676,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6982615948654711,80
JAH663,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7008530874736607,81
JAH773,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.703992061316967,81
JAH630,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7082903222180903,81
JAH520,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7101824013516307,82
JAH761,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.7132790007162839,82
JAH562,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,37.8,NA,NA,0.7205962734296918,82
JAH694,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.724554346408695,83
JAH842,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.7259830269031227,83
JAH698,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.726702539017424,83
JAH670,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.728394428268075,84
JAH752,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7293906519189477,84
JAH597,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7321352055296302,84
JAH724,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7351843058131635,85
JAH581,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7370777379255742,85
JAH782,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.7377974030096084,85
JAH614,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7403343603946269,86
JAH621,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7465680041350424,86
JAH743,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7542474020738155,86
JAH518,RNDU,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7544751586392522,87
JAH729,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.6,NA,NA,0.7585931695066392,87
JAH831,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.7608236253727227,87
JAH833,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.7691939112264663,88
JAH723,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7703340742737055,88
JAH826,LESC,"Chautauqua Wildlife Reserve, IL",03/21/2026; 10:25am,NA,NA,NA,NA,0.7745915420819074,88
JAH751,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7790658827871084,89
JAH544,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7822943013161421,89
JAH815,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.7839464787393808,89
JAH749,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7845752665307373,90
JAH704,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7852916712872684,90
JAH843,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.78568783425726,90
JAH585,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7862815517000854,91
JAH531,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.7881958340294659,91
JAH748,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.7988316111732274,91
JAH765,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8028122729156166,92
JAH688,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8034185420256108,92
JAH744,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8166058876086026,92
JAH666,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8209513239562511,93
JAH584,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.821805460145697,93
JAH686,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8319275628309697,93
JAH783,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8340543091762811,94
JAH809,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8352553199511021,94
JAH766,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8357088370248675,94
JAH628,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.839767764788121,95
JAH592,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8427293188869953,95
JAH598,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8474531651008874,95
JAH770,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8537633738014847,96
JAH769,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8568854201585054,96
JAH620,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8636441114358604,96
JAH822,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8664833146613091,97
JAH708,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,25.7,NA,NA,0.8681068068835884,97
JAH719,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,NA,NA,0.8710434136446565,97
JAH626,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8746823428664356,98
JAH653,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,NA,NA,0.880246541230008,98
JAH742,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.8804405687842518,98
JAH710,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33,NA,NA,0.8819775593001395,99
JAH536,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8864690607879311,99
JAH553,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8903502221219242,99
JAH579,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8913941171485931,100
JAH535,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.8930511143989861,100
JAH812,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.8967386826407164,100
JAH637,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9018743894994259,101
JAH852,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9053095816634595,101
JAH636,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.4,NA,NA,0.9131882230285555,101
JAH835,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9139954496640712,102
JAH554,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9144381869118661,102
JAH779,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.9150637616403401,102
JAH677,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9156835384201258,103
JAH667,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.918857348151505,103
JAH709,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9257079558447003,103
JAH558,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.935299803270027,104
JAH642,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9373140891548246,104
JAH561,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9477269400376827,104
JAH712,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9501669793389738,105
JAH565,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9540912385564297,105
JAH551,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9544738274998963,105
JAH669,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9611047937069088,106
JAH649,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9623589364346117,106
JAH825,LESC,"Chautauqua Wildlife Reserve, IL",03/20/2026; 1:10pm,NA,NA,NA,NA,0.9638433319050819,106
JAH697,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.967398370616138,107
JAH801,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.9674694943241775,107
JAH696,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9693564111366868,107
JAH829,RNDU,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9713424502406269,108
JAH725,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.5,NA,NA,0.9718756356742233,108
JAH840,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9770989962853491,108
JAH789,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.9778534048236907,109
JAH586,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9798219173680991,109
JAH745,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9821403736714274,109
JAH796,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.9833501807879657,110
JAH573,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9842192034702748,110
JAH534,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.9849569799844176,110
JAH640,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.9856408843770623,111
JAH805,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.9859541652258486,111
JAH850,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9860542973037809,111
JAH849,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.9912365558557212,112
JAH776,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.999404527945444,112
